,Marital status,Course Code,Attendance,Previous qualification,Previous qualification (grade),Admission grade,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),GDP,Target,DropOff_Rate,Appreciation_Rate
2260,single,9670,present,SSCE,122,116.1,yes,female,yes,19,6,13.125,6,12.71428571,2.02,Enrolled,0.41,0
2263,single,9003,present,SSCE,130,150,no,female,no,28,11,15.09090909,10,15,2.02,Dropout,0.09,0
2264,single,9853,present,SSCE,110,114.3,yes,female,no,42,5,12.4,5,11.8,0.32,Enrolled,0.6,0
2271,single,9070,present,SSCE,133.1,178,yes,female,yes,23,6,13.33333333,5,12.8,-3.12,Graduate,0.53,0
2272,married,9991,absent,Bsc,133.1,138.3,yes,female,no,44,3,11.33333333,5,11.14285714,0.79,Dropout,0.19,0
2276,married,8014,absent,Bsc,133.1,139,yes,female,no,49,6,12.16666667,6,14.42857143,1.79,Graduate,0,2.26
2280,single,9003,present,SSCE,130,130,yes,female,no,28,17,13.05882353,12,12.30769231,-4.06,Graduate,0.75,0
2282,single,9254,present,SSCE,133.1,121,no,female,no,21,5,11.83333333,5,10,3.51,Dropout,1.83,0
2283,single,9238,present,OND,120,118.6,yes,female,no,21,10,12.4,10,11.8,0.79,Graduate,0.6,0
2286,single,9991,absent,SSCE,120,160,yes,female,no,40,5,11,5,13.4,-4.06,Graduate,0,2.4
2287,single,9254,present,SSCE,125,114.5,yes,female,yes,22,6,13.625,6,14.42857143,2.02,Graduate,0,0.8
2291,single,9238,present,SSCE,127,125.3,yes,female,no,19,5,10.8,5,11,0.32,Graduate,0,0.2
2293,single,9773,present,SSCE,127,126.3,yes,female,no,19,6,12.83333333,6,13.33333333,-4.06,Graduate,0,0.5
2295,single,9670,present,SSCE,137,138.4,yes,female,no,19,6,15.125,6,13.42857143,2.02,Graduate,1.7,0
2297,single,9238,present,SSCE,136,126.2,yes,female,no,22,5,11.4,5,11,1.74,Graduate,0.4,0
2298,single,9238,present,SSCE,124,118.8,yes,female,no,19,4,12.25,6,11,-3.12,Graduate,1.25,0
2301,single,9070,present,SSCE,131,125.1,yes,female,no,18,6,12.33333333,5,10.8,-0.92,Enrolled,1.53,0
2303,single,9119,present,SSCE,136,125.2,yes,female,no,19,5,11.83333333,5,14.71428571,1.79,Enrolled,0,2.88
2305,single,9070,present,SSCE,110,107.6,yes,female,yes,22,6,11.66666667,6,12.16666667,0.32,Enrolled,0,0.5
2309,single,9119,present,SSCE,130,129.3,yes,female,yes,18,5,13,5,14.2,3.51,Graduate,0,1.2
2310,single,9238,present,SSCE,160,152,yes,female,yes,19,6,13.85714286,6,14,0.79,Graduate,0,0.14
2311,single,9500,present,SSCE,140,128.8,yes,female,no,18,6,13.39166667,8,12.4875,1.79,Graduate,0.9,0
2313,single,9130,present,OND,150,150,yes,female,no,22,4,14.5,5,14.6,1.74,Graduate,0,0.1
2314,single,9238,present,SSCE,133.1,112,yes,female,no,19,6,12.16666667,6,12.16666667,1.79,Graduate,0,0
2315,single,9130,present,SSCE,152,135.6,yes,female,no,18,5,15.4,5,15.6,-1.7,Dropout,0,0.2
2319,single,9254,present,SSCE,148,145.2,yes,female,no,20,6,13.71428571,6,14.71428571,-0.92,Graduate,0,1
2323,single,9500,present,SSCE,110,126,yes,female,no,27,7,14.08571429,7,14.08571429,0.32,Enrolled,0,0
2324,single,9238,present,SSCE,122,112.6,yes,female,no,21,6,10.16666667,6,10.5,-1.7,Graduate,0,0.33
2332,single,9003,present,SSCE,133.1,145.8,yes,female,no,34,5,13.33333333,5,12.4,1.79,Graduate,0.93,0
2334,single,9670,present,SSCE,137,122.3,yes,female,yes,18,6,13.57142857,6,14.33333333,1.79,Graduate,0,0.76
2335,single,9070,present,SSCE,117,125.4,yes,female,yes,19,6,12.83333333,6,11.16666667,2.02,Graduate,1.67,0
2336,single,9991,absent,SSCE,100,130,yes,female,no,40,4,10.25,5,11.2,-4.06,Dropout,0,0.95
2339,single,9119,present,SSCE,122,114.7,yes,female,no,20,5,15.8,5,13.71428571,2.02,Enrolled,2.09,0
2342,single,9003,present,SSCE,150,150,yes,female,no,35,18,11.66666667,12,11.5,-4.06,Graduate,0.17,0
2343,single,9991,absent,SSCE,116,118.5,yes,female,no,23,4,13,5,13,0.32,Graduate,0,0
2344,single,9500,present,SSCE,130,131.1,yes,female,no,19,7,12.12142857,8,11.50625,1.79,Graduate,0.62,0
2345,single,9085,present,Msc,150,150.3,yes,female,yes,21,9,14.22222222,7,13.75,3.51,Graduate,0.47,0
2347,single,9119,present,SSCE,108,105.6,yes,female,no,20,5,12.16666667,5,15.28571429,1.79,Graduate,0,3.12
2349,married,9254,present,SSCE,120,131,yes,female,no,44,6,12.66666667,6,11.5,1.79,Graduate,1.17,0
2350,single,9500,present,SSCE,146,127,yes,female,no,19,7,13.61428571,7,13.61428571,-1.7,Graduate,0,0
2351,single,9130,present,OND,150,150,yes,female,no,22,12,12.85714286,10,14.3,-0.92,Graduate,0,1.44
2352,single,9130,present,SSCE,160,149.2,yes,female,no,18,4,14,5,14.2,0.32,Graduate,0,0.2
2353,single,9670,present,SSCE,125,121.5,yes,female,yes,21,4,14.75,5,11.8,-1.7,Graduate,2.95,0
2355,single,9670,present,SSCE,122,119.6,yes,female,no,18,6,13.625,6,14.28571429,2.02,Graduate,0,0.66
2358,single,9003,present,SSCE,140,110,yes,female,no,31,6,15.125,6,14.6,-0.92,Graduate,0.53,0
2362,single,9147,present,SSCE,118,114.2,yes,female,no,20,3,10.33333333,5,12.8,1.79,Graduate,0,2.47
2365,single,9773,present,SSCE,125,121.5,yes,female,no,19,6,13.83333333,6,14.5,3.51,Graduate,0,0.67
2366,single,171,present,SSCE,131,127.2,yes,female,no,23,13,12.15384615,11,11.90909091,2.02,Enrolled,0.24,0
2367,single,9130,present,SSCE,131,128.2,yes,female,no,18,6,14,6,13.66666667,1.79,Graduate,0.33,0
2368,single,9773,present,SSCE,140,133.4,no,female,no,29,6,16.5,5,13.8,2.02,Enrolled,2.7,0
2370,single,9003,present,SSCE,140,140,yes,female,no,20,6,11.28571429,5,11.77777778,-0.92,Enrolled,0,0.49
2373,single,9670,present,SSCE,117,110.7,yes,female,no,20,5,14,6,12,2.02,Enrolled,2,0
2375,single,9670,present,SSCE,95,95,no,female,no,21,4,13.25,5,11,-1.7,Dropout,2.25,0
2379,single,9130,present,SSCE,133,125.7,yes,female,yes,18,6,13.5,6,12.5,1.79,Graduate,1,0
2380,single,9254,present,SSCE,125,116.6,yes,female,yes,19,5,12.66666667,6,12.85714286,-0.92,Graduate,0,0.19
2381,single,9070,present,SSCE,127,141,yes,female,yes,19,6,15.16666667,6,12.33333333,1.79,Graduate,2.83,0
2382,single,9119,present,Phd,130,130,yes,female,no,27,6,13.16666667,5,15.14285714,2.02,Dropout,0,1.98
2383,single,9003,present,SSCE,130,130,yes,female,no,21,10,11.8,9,11.44444444,3.51,Enrolled,0.36,0
2385,single,9070,present,OND,140,140,yes,female,no,21,6,14.5,6,11.33333333,1.79,Graduate,3.17,0
2391,single,9003,present,SSCE,130,130,yes,female,no,25,8,12.5,10,11.6,-4.06,Dropout,0.9,0
2394,single,9147,present,SSCE,135,121,yes,female,yes,18,5,12.75,5,11.5,0.79,Graduate,1.25,0
2397,single,9773,present,SSCE,135,136.1,yes,female,no,19,5,11.4,5,12.4,3.51,Enrolled,0,1
2398,single,9773,present,SSCE,131,132.8,yes,female,no,19,6,14.42857143,6,14.57142857,0.79,Graduate,0,0.14
2399,single,9500,present,SSCE,131,126.3,yes,female,no,19,7,12.49285714,8,11.7125,-0.92,Graduate,0.78,0
2401,married,9991,absent,SSCE,140,118.2,yes,female,no,52,5,11.2,5,12.8,0.32,Graduate,0,1.6
2403,single,9500,present,SSCE,130,117.8,yes,female,no,19,7,15.88571429,7,15.88571429,1.74,Graduate,0,0
2405,married,8014,absent,SSCE,150,140,no,female,no,35,6,14,6,14.16666667,-3.12,Graduate,0,0.17
2414,single,9147,present,SSCE,130,118.5,yes,female,no,23,8,11.625,10,11.18181818,0.32,Graduate,0.44,0
2417,single,9991,absent,SSCE,140,135.8,yes,female,no,25,15,10.8,14,11.35714286,-3.12,Graduate,0,0.56
2418,single,171,present,Msc,130,130,no,female,yes,22,11,12.54545455,11,12.66666667,3.51,Graduate,0,0.12
2419,single,9003,present,SSCE,133.1,129.8,yes,female,no,24,7,13.57142857,5,13.4,3.51,Enrolled,0.17,0
2422,single,9003,present,SSCE,120,150.1,yes,female,no,43,6,14.77777778,5,12.2,0.79,Graduate,2.58,0
2427,married,9670,present,SSCE,100,110,yes,female,yes,36,5,11.4,5,11.6,-3.12,Graduate,0,0.2
2428,single,9003,present,Bsc,133.1,114,yes,female,no,29,6,11.66666667,6,10.85714286,-4.06,Dropout,0.81,0
2429,single,9119,present,SSCE,120,128.2,yes,female,no,35,7,11.28571429,5,13,-3.12,Dropout,0,1.71
2430,single,9773,present,SSCE,128,116.5,yes,female,yes,18,4,11.5,5,12.6,1.74,Graduate,0,1.1
2431,single,9991,absent,SSCE,172,149.3,yes,female,yes,24,5,16,5,16,3.51,Graduate,0,0
2432,single,9773,present,SSCE,146,134.1,yes,female,yes,18,6,12.5,6,12.66666667,1.74,Dropout,0,0.17
2435,single,9119,present,SSCE,150,133.5,yes,female,no,21,5,13,5,12.6,-3.12,Graduate,0.4,0
2436,single,9003,present,SSCE,130,110,yes,female,no,32,13,13.71428571,12,12.08333333,-4.06,Graduate,1.63,0
2438,single,9003,present,HND,130,130,no,female,no,32,11,12.72727273,10,12.7,-4.06,Dropout,0.03,0
2443,married,9003,present,HND,110,150,yes,female,no,32,6,18.875,12,17.69230769,-0.92,Graduate,1.18,0
2446,single,9991,absent,Phd,150,150,yes,female,no,44,7,13.5,5,16.2,3.51,Dropout,0,2.7
2449,single,9991,absent,HND,130,130,yes,female,no,31,9,14.22222222,5,12.8,-1.7,Dropout,1.42,0
2453,single,171,present,SSCE,130,130,yes,female,no,21,12,15.08333333,11,13.08333333,3.51,Enrolled,2,0
2455,single,9003,present,OND,170,170,yes,female,no,20,6,14.5,6,15.3,-0.92,Graduate,0,0.8
2456,single,9070,present,SSCE,110,110.2,yes,female,no,55,6,14.5,6,13.5,2.02,Graduate,1,0
2459,single,9147,present,SSCE,133,129.9,yes,female,no,18,5,11.6,5,13.2,1.79,Graduate,0,1.6
2467,single,9003,present,OND,140,140,yes,female,yes,20,5,13.83333333,6,12.3,-4.06,Enrolled,1.53,0
2474,single,9773,present,SSCE,133.1,127,yes,female,no,20,6,14.33333333,6,15,-4.06,Graduate,0,0.67
2477,single,9254,present,SSCE,160,140.8,yes,female,no,23,6,12.66666667,5,12.2,0.32,Enrolled,0.47,0
2478,single,9500,present,SSCE,128,125.6,yes,female,no,18,7,12.44428571,7,11.34714286,1.79,Graduate,1.1,0
2481,single,9070,present,SSCE,140,131.3,yes,female,yes,22,6,12.66666667,5,12.4,1.79,Graduate,0.27,0
2482,single,9991,absent,Phd,120,155.7,yes,female,no,33,5,13.2,5,14.83333333,1.74,Graduate,0,1.63
2483,single,9003,present,Msc,130,128.5,yes,female,no,21,10,12.7,11,12.18181818,3.51,Graduate,0.52,0
2484,married,9147,present,SSCE,100,170,yes,female,no,45,5,14.83333333,5,14.8,-4.06,Graduate,0.03,0
2489,single,9254,present,SSCE,137,122.3,yes,female,yes,20,6,14.71428571,6,12.5,3.51,Graduate,2.21,0
2492,single,8014,absent,SSCE,120,128.5,no,female,no,26,4,10.5,7,10.42857143,1.79,Dropout,0.07,0
2493,married,9003,present,SSCE,133.1,150,yes,female,no,31,6,15,5,12.5,0.79,Graduate,2.5,0
2494,single,9773,present,SSCE,142,136.1,yes,female,yes,19,6,12.66666667,6,14,-0.92,Graduate,0,1.33
2495,single,9773,present,Bsc,100,128,yes,female,no,28,6,13.16666667,6,13.66666667,0.32,Graduate,0,0.5
2497,married,8014,absent,SSCE,110,108.7,yes,male,no,43,6,13,6,12.5,-3.12,Graduate,0.5,0
2500,single,9085,present,OND,150,150,yes,male,no,20,6,13.33333333,5,13.375,1.79,Graduate,0,0.04
2501,married,8014,absent,Phd,133.1,113,yes,male,no,46,3,12.33333333,6,13.33333333,2.02,Graduate,0,1
2502,single,9130,present,SSCE,121,118.6,yes,male,no,26,20,13.18181818,14,11.64285714,3.51,Graduate,1.54,0
2503,married,9500,present,SSCE,133.1,148.8,yes,male,yes,34,6,12.51333333,7,13.07142857,1.79,Graduate,0,0.56
2505,single,9500,present,SSCE,143,127,yes,male,yes,18,7,13.58571429,7,13.58571429,-1.7,Graduate,0,0
2506,single,9130,present,SSCE,123,113.8,yes,male,no,18,7,11.15555556,8,11.425,-1.7,Graduate,0,0.27
2507,single,8014,absent,SSCE,120,108,yes,female,yes,37,6,11.85714286,5,12,0.79,Graduate,0,0.14
2509,single,9070,present,SSCE,114,135.9,yes,female,no,26,14,14,13,13.61538462,-4.06,Graduate,0.38,0
2511,single,9500,present,SSCE,190,190,yes,male,no,18,4,11.575,5,12.42,1.79,Enrolled,0,0.84
2512,single,9500,present,SSCE,136,132.5,yes,male,no,19,7,13.19857143,8,13.0625,2.02,Graduate,0.14,0
2513,single,9085,present,SSCE,163.3,163.3,yes,male,no,18,6,13.5,6,12,1.79,Graduate,1.5,0
2514,single,9670,present,SSCE,126,122.5,yes,male,no,19,6,13.33333333,5,12.8,3.51,Dropout,0.53,0
2517,single,9500,present,SSCE,139,135,yes,male,yes,18,7,12.21428571,7,12.21428571,-1.7,Graduate,0,0
2518,single,9254,present,SSCE,142,141.7,yes,male,yes,18,6,12.66666667,6,13,0.79,Graduate,0,0.33
2519,single,9773,present,SSCE,133.1,131.3,yes,male,yes,18,6,12.28571429,6,13.5,3.51,Graduate,0,1.21
2520,single,9254,present,SSCE,126,123.9,yes,male,yes,18,6,13,6,13,1.79,Graduate,0,0
2521,single,9254,present,SSCE,131,126.1,yes,male,no,18,6,12.14285714,6,11.16666667,3.51,Graduate,0.98,0
2522,single,9500,present,SSCE,131,126.5,yes,male,yes,19,7,13.87571429,7,13.08571429,2.02,Graduate,0.79,0
2526,single,9070,present,SSCE,143,134.6,yes,male,yes,18,6,14.5,6,12.83333333,1.79,Dropout,1.67,0
2527,single,9500,present,SSCE,135,128,yes,male,yes,18,7,14.44142857,8,13.65625,2.02,Graduate,0.79,0
2528,single,9773,present,SSCE,148,144.2,yes,male,no,18,6,15.16666667,6,14.28571429,1.79,Graduate,0.88,0
2530,single,9773,present,SSCE,122,116.8,yes,male,no,18,6,11.66666667,6,12.33333333,-0.92,Graduate,0,0.67
2531,single,9003,present,OND,160,160,yes,male,yes,20,6,12.625,6,13.2,-0.92,Graduate,0,0.57
2532,single,9238,present,SSCE,126,127.1,yes,male,yes,19,3,12.66666667,6,11,-3.12,Graduate,1.67,0
2533,single,9130,present,SSCE,138,126.3,yes,male,yes,18,6,12.83333333,6,13,3.51,Enrolled,0,0.17
2534,single,9238,present,SSCE,115,112.9,yes,male,yes,19,6,11.85714286,6,13.14285714,1.79,Graduate,0,1.29
2536,single,9130,present,SSCE,100,100,yes,male,no,19,5,14.85714286,5,15.14285714,-3.12,Enrolled,0,0.29
2537,single,9670,present,SSCE,130,121.6,yes,male,no,19,6,14.71428571,6,15.83333333,1.79,Graduate,0,1.12
2538,single,9670,present,SSCE,130,130,yes,male,no,20,6,13.5,5,13,3.51,Graduate,0.5,0
2539,single,9130,present,SSCE,135,121.7,yes,male,yes,18,4,11.5,5,12.4,1.74,Graduate,0,0.9
2542,single,9130,present,SSCE,136,128.3,yes,male,yes,18,7,13.42857143,8,14.75,-4.06,Graduate,0,1.32
2545,single,9773,present,SSCE,153,137.6,yes,male,no,18,6,16,6,14.33333333,1.79,Graduate,1.67,0
2546,single,9238,present,SSCE,135,135,yes,male,no,20,6,13.83333333,6,11.83333333,1.74,Graduate,2,0
2547,single,9500,present,SSCE,146,133.8,yes,male,no,19,8,13.2325,8,13.2325,-3.12,Graduate,0,0
2548,single,9773,present,SSCE,130,126.9,yes,female,yes,18,6,14,6,14.16666667,-3.12,Graduate,0,0.17
2550,single,8014,absent,SSCE,145.7,145.7,yes,male,no,25,15,13.33333333,11,12.27272727,0.79,Graduate,1.06,0
2551,single,9070,present,SSCE,145,153.1,yes,male,yes,20,6,12.5,6,14.33333333,-1.7,Enrolled,0,1.83
2552,single,8014,absent,SSCE,126,118.7,yes,male,no,19,6,12.5,6,11.5,-1.7,Graduate,1,0
2556,single,9147,present,SSCE,130,130,yes,male,no,19,4,12,5,11.4,2.02,Graduate,0.6,0
2559,single,9773,present,SSCE,156,136.8,yes,male,no,18,6,14,6,13.5,2.02,Dropout,0.5,0
2560,single,9853,present,SSCE,141,130.9,yes,male,no,18,6,13.5,5,12.6,0.32,Graduate,0.9,0
2561,single,9500,present,SSCE,143,127,yes,male,no,18,8,13.07375,8,13.07375,-3.12,Graduate,0,0
2564,single,9254,present,SSCE,172,153.8,yes,male,yes,20,6,14,6,13.33333333,1.74,Graduate,0.67,0
2565,single,9238,present,SSCE,140,140,yes,female,no,21,6,12.33333333,6,13.42857143,2.02,Graduate,0,1.1
2566,single,9500,present,SSCE,142,136.6,yes,male,yes,18,7,13.46428571,8,14.78888889,1.79,Graduate,0,1.32
2567,single,8014,absent,SSCE,140,105,yes,male,no,26,3,10.66666667,5,11.2,-4.06,Enrolled,0,0.53
2568,single,9147,present,Phd,133.1,139.4,yes,male,no,41,5,11.6,5,12.2,0.32,Enrolled,0,0.6
2569,single,9773,present,SSCE,148,140,yes,male,yes,18,6,13.66666667,6,14.66666667,-0.92,Graduate,0,1
2570,single,9500,present,SSCE,137,130.8,yes,male,no,18,8,14.4025,8,14.4025,-3.12,Graduate,0,0
2571,single,9500,present,SSCE,143,138.8,yes,male,no,31,7,15.46875,8,16.3875,2.02,Graduate,0,0.92
2572,single,9238,present,SSCE,133.1,110,yes,male,no,23,6,12.625,6,14.16666667,-1.7,Graduate,0,1.54
2573,single,9500,present,SSCE,138,127.8,yes,male,no,19,6,14.98333333,6,14.98333333,0.32,Graduate,0,0
2574,single,9773,present,SSCE,138,134.2,yes,male,yes,20,6,15,6,13,2.02,Graduate,2,0
2575,married,8014,absent,SSCE,150,143,yes,male,no,40,9,15.88888889,7,14.14285714,-1.7,Graduate,1.75,0
2578,single,9500,present,SSCE,146,135.8,yes,male,no,18,6,13.98333333,6,13.98333333,0.32,Graduate,0,0
2579,single,9238,present,SSCE,148,143.5,yes,male,no,18,6,13,6,12.83333333,1.74,Graduate,0.17,0
2580,single,9238,present,SSCE,145,148.9,yes,male,yes,18,6,13.66666667,6,13,1.74,Graduate,0.67,0
2582,single,9147,present,SSCE,160,159.3,yes,male,no,18,5,14.4,5,15.4,0.32,Graduate,0,1
2584,single,9853,present,SSCE,130,133.2,yes,male,no,19,6,14.16666667,6,13.66666667,0.32,Graduate,0.5,0
2585,single,8014,absent,SSCE,120,117.6,yes,male,no,19,5,12.2,6,12,0.32,Graduate,0.2,0
2589,single,9853,present,SSCE,134,127.4,yes,male,no,18,5,12.2,5,12.2,1.74,Enrolled,0,0
2591,single,9853,present,SSCE,133.1,95,no,male,no,22,6,11.5,6,13.16666667,2.02,Enrolled,0,1.67
2592,single,9147,present,HND,130,130,yes,male,no,21,9,10.88888889,10,11.61538462,1.74,Graduate,0,0.73
2593,single,9130,present,SSCE,120,122.8,yes,male,no,26,6,12.16666667,8,11.675,0.79,Dropout,0.49,0
2595,single,9070,present,SSCE,135,145.9,yes,male,yes,18,6,12.66666667,6,12.16666667,-0.92,Graduate,0.5,0
2596,single,9070,present,SSCE,133.1,143,yes,male,no,21,5,11.4,5,12.2,-1.7,Dropout,0,0.8
2599,single,9853,present,SSCE,118,121.2,yes,male,no,18,5,13.4,5,12,0.32,Enrolled,1.4,0
2600,single,9853,present,SSCE,138,125.1,yes,male,yes,19,6,13.5,5,12.8,-1.7,Dropout,0.7,0
2602,single,9238,present,SSCE,126,120.8,yes,male,no,19,6,12.28571429,6,12.83333333,1.79,Graduate,0,0.55
2605,married,9085,present,OND,160,160,yes,male,no,27,3,14,5,12,-3.12,Graduate,2,0
2606,single,9085,present,SSCE,134,134,yes,male,no,22,5,14.2,5,12.2,-1.7,Graduate,2,0
2607,single,9773,present,SSCE,128,124.2,yes,male,no,18,5,13,6,13.14285714,-4.06,Dropout,0,0.14
2610,single,9500,present,SSCE,138,132.8,yes,male,no,18,6,12.38571429,8,13.75555556,0.79,Graduate,0,1.37
2612,single,9130,present,SSCE,134,125.6,yes,male,no,20,5,16.16666667,5,15.83333333,-1.7,Graduate,0.33,0
2617,single,9254,present,SSCE,118,118,yes,male,yes,19,5,11,5,12.8,1.79,Graduate,0,1.8
2618,single,9853,present,SSCE,150,142,yes,male,yes,19,6,12.33333333,5,12.4,1.74,Dropout,0,0.07
2619,single,9238,present,SSCE,140,143.4,yes,male,yes,21,6,14.83333333,6,12.57142857,0.79,Graduate,2.26,0
2620,single,9070,present,SSCE,100,115.9,yes,male,no,29,9,11.55555556,10,11.9,-3.12,Enrolled,0,0.34
2621,single,9070,present,SSCE,110,105.1,yes,male,yes,20,6,12,6,11.83333333,1.79,Graduate,0.17,0
2622,single,8014,absent,Msc,140,138,yes,male,yes,21,11,12.72727273,10,12.6,3.51,Graduate,0.13,0
2624,single,9773,present,SSCE,140,130.5,yes,male,no,20,6,12.33333333,6,12,-1.7,Graduate,0.33,0
2626,single,9500,present,SSCE,148,137.5,yes,female,no,18,7,14.84285714,8,14.38888889,-0.92,Graduate,0.45,0
2627,single,9500,present,SSCE,137,125.3,yes,female,no,19,7,12.2,7,12.2,0.32,Enrolled,0,0
2629,single,9991,absent,SSCE,120,144.8,yes,female,no,28,4,12.75,5,14.33333333,1.74,Enrolled,0,1.58
2632,single,9500,present,SSCE,130,136,yes,female,no,22,8,12.55375,8,12.55375,-3.12,Graduate,0,0
2633,single,9500,present,SSCE,128,124.3,yes,female,no,19,7,12.66571429,7,12.66571429,1.74,Graduate,0,0
2638,single,9147,present,SSCE,127,115.8,yes,female,no,18,5,13.4,5,12.2,2.02,Graduate,1.2,0
2639,single,171,present,SSCE,135,149,yes,female,no,22,17,12.57894737,17,12.11764706,2.02,Graduate,0.46,0
2641,single,9773,present,SSCE,125,133.4,yes,female,yes,20,6,12,6,11.5,0.79,Graduate,0.5,0
2644,single,9003,present,SSCE,150,137,yes,female,no,35,5,12.8,5,13.83333333,-4.06,Graduate,0,1.03
2646,single,9070,present,SSCE,150,126.4,yes,female,no,26,7,13.28571429,7,12.14285714,1.79,Enrolled,1.14,0
2649,single,9500,present,SSCE,125,118.3,yes,female,no,20,5,12.002,5,12.002,1.74,Dropout,0,0
2650,single,9500,present,SSCE,127,121.4,yes,female,no,20,5,13.97666667,8,13.22222222,1.79,Enrolled,0.75,0
2652,single,9670,present,SSCE,110,109,yes,female,yes,19,6,13.14285714,6,14.16666667,-4.06,Graduate,0,1.02
2654,single,9500,present,SSCE,124,119.8,yes,female,no,19,7,13.86714286,7,13.86714286,1.74,Graduate,0,0
2655,single,9500,present,SSCE,114,130,yes,female,no,25,6,12.675,6,12.675,-1.7,Graduate,0,0
2657,single,9853,present,SSCE,114,111.9,yes,female,yes,20,6,12,6,12.5,0.32,Enrolled,0,0.5
2659,single,9254,present,SSCE,125,124,yes,female,yes,19,6,11,5,12.2,2.02,Dropout,0,1.2
2661,married,9773,present,HND,100,154,yes,female,no,57,5,14.2,6,14.16666667,-3.12,Graduate,0.03,0
2664,married,9991,absent,SSCE,120,168.2,yes,female,no,45,5,14,5,14.16666667,1.79,Graduate,0,0.17
2666,single,9070,present,SSCE,144,137.4,yes,female,no,19,6,13.83333333,6,13.125,1.74,Graduate,0.71,0
2668,married,9500,present,Bsc,133.1,100.5,yes,female,no,43,7,11.63571429,7,11.63571429,1.74,Enrolled,0,0
2670,single,9119,present,SSCE,138,123.3,yes,female,no,18,4,12.5,5,11.28571429,1.79,Enrolled,1.21,0
2671,married,9991,absent,SSCE,120,138.7,yes,female,no,43,5,13.8,5,13.66666667,1.74,Graduate,0.13,0
2674,single,9670,present,SSCE,134,125.3,yes,female,yes,19,4,13.75,6,11.55555556,1.74,Graduate,2.19,0
2677,single,9991,absent,SSCE,130,124,yes,female,no,31,5,13.83333333,5,15.4,-3.12,Graduate,0,1.57
2679,single,9991,absent,SSCE,150,127,yes,female,no,34,5,15.8,5,16.8,3.51,Graduate,0,1
2680,married,9500,present,Bsc,100,110,yes,female,no,30,12,12.52608696,12,12.52608696,0.32,Graduate,0,0
2693,single,9003,present,SSCE,140,138.3,yes,female,no,18,6,16,6,15.16666667,1.79,Graduate,0.83,0
2694,single,9773,present,SSCE,140,131.6,yes,female,yes,18,6,12.66666667,6,11.5,-0.92,Graduate,1.17,0
2695,single,9500,present,SSCE,120,125.3,yes,female,no,30,4,14.4,6,13.5,1.79,Enrolled,0.9,0
2698,single,9070,present,OND,123.9,123.9,yes,female,no,20,5,12.6,8,12.75,-0.92,Dropout,0,0.15
2699,single,9500,present,SSCE,157,143,yes,female,no,18,7,13.4,7,13.4,-1.7,Graduate,0,0
2706,single,9130,present,SSCE,125,132.4,yes,female,no,20,4,11.75,5,13.4,0.32,Graduate,0,1.65
2708,single,9070,present,SSCE,157,138.1,yes,male,no,18,6,12.66666667,6,14.125,1.74,Graduate,0,1.46
2709,married,9130,present,SSCE,160,130,yes,male,no,25,7,11.95,7,12.04285714,-1.7,Enrolled,0,0.09
2710,single,9254,present,SSCE,116,109.7,yes,male,no,22,5,14,6,15.66666667,2.02,Graduate,0,1.67
2713,single,9130,present,SSCE,150,150,yes,male,no,21,6,12,5,12.8,0.79,Graduate,0,0.8
2714,single,9085,present,SSCE,110,160,yes,male,no,30,6,16.42857143,6,16.66666667,0.79,Dropout,0,0.24
2715,single,9500,present,SSCE,101,104.5,yes,male,yes,21,5,13.336,7,13.20714286,2.02,Graduate,0.13,0
2717,single,9670,present,SSCE,133.1,100,yes,male,no,21,7,14.66666667,6,14,2.02,Graduate,0.67,0
2718,single,9500,present,SSCE,138,132.5,yes,male,no,18,7,14.11571429,7,14.11571429,1.74,Graduate,0,0
2719,single,9085,present,SSCE,138,123.3,yes,male,yes,19,6,14.85714286,6,13.11111111,1.79,Graduate,1.75,0
2720,single,9085,present,SSCE,141,128.9,yes,male,yes,18,6,13.83333333,6,13.71428571,3.51,Graduate,0.12,0
2724,single,9500,present,SSCE,100,160,yes,male,yes,24,6,12.415,6,12.415,1.74,Graduate,0,0
2726,single,9085,present,OND,150,150,yes,male,no,23,5,14.42857143,6,13.42857143,-0.92,Graduate,1,0
2727,single,9500,present,SSCE,129,124,yes,male,yes,18,7,14.31285714,7,14.31285714,1.74,Graduate,0,0
2728,single,9085,present,SSCE,130,120,no,male,no,26,6,15.42857143,5,14.5,2.02,Enrolled,0.93,0
2729,single,9130,present,SSCE,133,120.4,yes,male,no,20,4,12,5,13.4,-3.12,Graduate,0,1.4
2730,single,9238,present,SSCE,133,131.6,yes,male,no,18,6,13.83333333,6,13.71428571,2.02,Graduate,0.12,0
2731,single,9238,present,SSCE,107,104.2,yes,male,no,20,6,12.16666667,6,12.14285714,2.02,Graduate,0.02,0
2732,single,9500,present,SSCE,131,122,yes,male,no,20,7,14.01428571,7,14.01428571,-1.7,Enrolled,0,0
2734,single,9773,present,SSCE,136,121.7,yes,male,yes,22,5,13.2,5,13.6,1.79,Graduate,0,0.4
2735,single,9500,present,SSCE,125,126,yes,male,no,20,6,15.4,6,15.4,0.32,Graduate,0,0
2736,single,9500,present,SSCE,137,128.4,yes,male,yes,19,7,13.38571429,8,15.925,0.79,Graduate,0,2.54
